==========================================================================
  AI REVENUE RECOVERY AGENT - FULL END-TO-END DEMO RUN (SEED=42)
  Timestamp: 2026-08-24 22:37:46
==========================================================================

[Step 1/5] Resetting database tables...
Database reset complete.

[Step 2/5] Ingesting synthetic datasets (Payments, Checkouts, Subscriptions, Invoices)...
Ingestion complete: Processed records: {'customers': 200, 'payments': 350, 'checkouts': 250, 'subscriptions': 200, 'invoices': 200}

[Step 3/5] Executing Revenue-at-Risk Detection engine...
Detection complete: Created 381 cases representing $376,590.00 at risk.

[Step 4/5] Processing all detected cases (Classify -> Guardrails -> Simulator)...
Retrieved 381 detected recovery cases from database.

Case #001 | Type=FAILED_PAYMENT     | Amount=$ 1171.99 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,171.99) exceeds max auto-approval threshold ($500.00).
Case #002 | Type=FAILED_PAYMENT     | Amount=$  838.16 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($838.16) exceeds max auto-approval threshold ($500.00).
Case #003 | Type=FAILED_PAYMENT     | Amount=$  721.31 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($721.31) exceeds max auto-approval threshold ($500.00).
Case #004 | Type=FAILED_PAYMENT     | Amount=$  665.07 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($665.07) exceeds max auto-approval threshold ($500.00).
Case #005 | Type=FAILED_PAYMENT     | Amount=$ 1378.14 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,378.14) exceeds max auto-approval threshold ($500.00).
Case #006 | Type=FAILED_PAYMENT     | Amount=$  768.92 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($768.92) exceeds max auto-approval threshold ($500.00).
Case #007 | Type=FAILED_PAYMENT     | Amount=$ 1359.38 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,359.38) exceeds max auto-approval threshold ($500.00).
Case #008 | Type=FAILED_PAYMENT     | Amount=$  488.25 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #009 | Type=FAILED_PAYMENT     | Amount=$  219.34 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #010 | Type=FAILED_PAYMENT     | Amount=$  369.08 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #011 | Type=FAILED_PAYMENT     | Amount=$  704.97 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($704.97) exceeds max auto-approval threshold ($500.00).
