id,external_id,customer_id,cart_value,currency,status,abandoned_step,created_at
1,chk_1,27,190.26,USD,COMPLETED,,2025-11-21T07:00:00+00:00
2,chk_2,89,222.27,USD,COMPLETED,,2025-11-22T22:00:00+00:00
3,chk_3,172,1066.82,USD,COMPLETED,,2025-12-15T00:00:00+00:00
4,chk_4,68,104.66,USD,ABANDONED,CART_REVIEW,2025-12-03T03:00:00+00:00
5,chk_5,185,539.91,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-13T05:00:00+00:00
6,chk_6,106,469.99,USD,COMPLETED,,2025-12-21T12:00:00+00:00
7,chk_7,26,951.76,USD,COMPLETED,,2025-12-23T20:00:00+00:00
8,chk_8,195,216.12,USD,COMPLETED,,2025-11-21T01:00:00+00:00
9,chk_9,76,1143.2,USD,ABANDONED,SHIPPING_ADDRESS,2025-11-21T10:00:00+00:00
10,chk_10,44,214.06,USD,COMPLETED,,2025-11-21T17:00:00+00:00
11,chk_11,24,1074.54,USD,ABANDONED,CART_REVIEW,2026-01-01T00:00:00+00:00
12,chk_12,111,218.87,USD,COMPLETED,,2025-12-14T05:00:00+00:00
13,chk_13,14,1169.92,USD,ABANDONED,PAYMENT_METHOD,2025-12-13T22:00:00+00:00
14,chk_14,142,882.72,USD,COMPLETED,,2025-12-03T21:00:00+00:00
15,chk_15,73,83.32,USD,ABANDONED,PAYMENT_METHOD,2025-12-23T17:00:00+00:00
16,chk_16,126,29.48,USD,ABANDONED,SHIPPING_ADDRESS,2025-11-22T09:00:00+00:00
17,chk_17,170,589.39,USD,COMPLETED,,2025-11-23T00:00:00+00:00
18,chk_18,53,1173.04,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-17T03:00:00+00:00
19,chk_19,79,578.36,USD,COMPLETED,,2025-12-29T08:00:00+00:00
20,chk_20,24,480.34,USD,COMPLETED,,2025-12-10T12:00:00+00:00
21,chk_21,95,334.37,USD,ABANDONED,PAYMENT_METHOD,2025-12-16T08:00:00+00:00
22,chk_22,58,687.99,USD,COMPLETED,,2025-11-26T22:00:00+00:00
23,chk_23,171,428.95,USD,ABANDONED,CART_REVIEW,2025-12-21T13:00:00+00:00
24,chk_24,194,675.48,USD,COMPLETED,,2025-12-11T16:00:00+00:00
25,chk_25,108,832.3,USD,COMPLETED,,2025-12-17T18:00:00+00:00
26,chk_26,61,117.77,USD,COMPLETED,,2026-01-01T01:00:00+00:00
27,chk_27,129,632.26,USD,COMPLETED,,2025-12-23T21:00:00+00:00
28,chk_28,159,228.13,USD,ABANDONED,SHIPPING_ADDRESS,2025-11-27T06:00:00+00:00
