id,external_id,customer_id,amount_due,currency,status,days_overdue,due_date,created_at
1,inv_1,57,3698.16,USD,OVERDUE,87,2025-11-14T00:00:00+00:00,2025-10-15T00:00:00+00:00
2,inv_2,115,2939.99,USD,PAID,0,2025-11-04T00:00:00+00:00,2025-10-05T00:00:00+00:00
3,inv_3,57,3963.89,USD,PAID,0,2025-11-06T00:00:00+00:00,2025-10-07T00:00:00+00:00
4,inv_4,34,2921.49,USD,OVERDUE,61,2025-11-03T00:00:00+00:00,2025-10-04T00:00:00+00:00
5,inv_5,141,2082.86,USD,OVERDUE,11,2025-11-15T00:00:00+00:00,2025-10-16T00:00:00+00:00
6,inv_6,199,3845.86,USD,PAID,0,2025-11-17T00:00:00+00:00,2025-10-18T00:00:00+00:00
7,inv_7,144,3313.4,USD,OVERDUE,51,2025-11-08T00:00:00+00:00,2025-10-09T00:00:00+00:00
8,inv_8,144,3717.99,USD,PAID,0,2025-11-09T00:00:00+00:00,2025-10-10T00:00:00+00:00
9,inv_9,63,1718.55,USD,OVERDUE,56,2025-12-01T00:00:00+00:00,2025-11-01T00:00:00+00:00
10,inv_10,148,2155.87,USD,OVERDUE,86,2025-11-13T00:00:00+00:00,2025-10-14T00:00:00+00:00
11,inv_11,90,3030.3,USD,OVERDUE,45,2025-11-02T00:00:00+00:00,2025-10-03T00:00:00+00:00
12,inv_12,198,3138.67,USD,OVERDUE,45,2025-11-27T00:00:00+00:00,2025-10-28T00:00:00+00:00
13,inv_13,114,2286.25,USD,PAID,0,2025-12-01T00:00:00+00:00,2025-11-01T00:00:00+00:00
14,inv_14,60,906.56,USD,OVERDUE,48,2025-11-25T00:00:00+00:00,2025-10-26T00:00:00+00:00
15,inv_15,22,1328.78,USD,OVERDUE,7,2025-11-21T00:00:00+00:00,2025-10-22T00:00:00+00:00
16,inv_16,38,4127.65,USD,PAID,0,2025-11-02T00:00:00+00:00,2025-10-03T00:00:00+00:00
17,inv_17,88,689.7,USD,PAID,0,2025-11-16T00:00:00+00:00,2025-10-17T00:00:00+00:00
18,inv_18,121,3739.06,USD,OVERDUE,27,2025-11-08T00:00:00+00:00,2025-10-09T00:00:00+00:00
19,inv_19,53,3789.22,USD,PAID,0,2025-11-19T00:00:00+00:00,2025-10-20T00:00:00+00:00
20,inv_20,124,4962.67,USD,PAID,0,2025-11-24T00:00:00+00:00,2025-10-25T00:00:00+00:00
21,inv_21,179,1976.54,USD,PAID,0,2025-11-30T00:00:00+00:00,2025-10-31T00:00:00+00:00
22,inv_22,170,1388.96,USD,PAID,0,2025-11-03T00:00:00+00:00,2025-10-04T00:00:00+00:00
23,inv_23,73,3147.13,USD,OVERDUE,90,2025-11-03T00:00:00+00:00,2025-10-04T00:00:00+00:00
24,inv_24,120,190.42,USD,PAID,0,2025-11-14T00:00:00+00:00,2025-10-15T00:00:00+00:00
25,inv_25,170,1897.06,USD,OVERDUE,85,2025-11-05T00:00:00+00:00,2025-10-06T00:00:00+00:00
26,inv_26,5,2024.64,USD,OVERDUE,84,2025-11-14T00:00:00+00:00,2025-10-15T00:00:00+00:00
