id,external_id,customer_id,amount,currency,status,failure_reason,payment_method,created_at
1,pay_1,191,1171.99,USD,FAILED,EXPIRED_CARD,CREDIT_CARD,2025-12-04T20:00:00+00:00
2,pay_2,30,302.95,USD,SUCCESS,,ACH,2025-11-24T23:00:00+00:00
3,pay_3,166,365.86,USD,SUCCESS,,DEBIT_CARD,2025-11-18T06:00:00+00:00
4,pay_4,45,1143.92,USD,SUCCESS,,CREDIT_CARD,2025-11-13T20:00:00+00:00
5,pay_5,127,852.15,USD,SUCCESS,,PAYPAL,2025-12-15T18:00:00+00:00
6,pay_6,165,942.41,USD,SUCCESS,,ACH,2025-11-11T14:00:00+00:00
7,pay_7,18,952.61,USD,SUCCESS,,ACH,2025-12-09T01:00:00+00:00
8,pay_8,91,475.96,USD,SUCCESS,,PAYPAL,2025-11-04T01:00:00+00:00
9,pay_9,95,128.95,USD,SUCCESS,,CREDIT_CARD,2025-12-11T19:00:00+00:00
10,pay_10,130,838.16,USD,FAILED,INSUFFICIENT_FUNDS,CREDIT_CARD,2025-11-30T18:00:00+00:00
11,pay_11,167,721.31,USD,FAILED,INSUFFICIENT_FUNDS,DEBIT_CARD,2025-11-05T14:00:00+00:00
12,pay_12,27,1258.51,USD,SUCCESS,,CREDIT_CARD,2025-12-04T20:00:00+00:00
13,pay_13,45,665.07,USD,FAILED,INSUFFICIENT_FUNDS,PAYPAL,2025-12-05T16:00:00+00:00
14,pay_14,157,1378.14,USD,FAILED,EXPIRED_CARD,PAYPAL,2025-11-28T10:00:00+00:00
15,pay_15,174,1187.0,USD,SUCCESS,,ACH,2025-11-06T10:00:00+00:00
16,pay_16,25,589.05,USD,SUCCESS,,ACH,2025-12-18T21:00:00+00:00
17,pay_17,155,510.04,USD,SUCCESS,,DEBIT_CARD,2025-12-30T11:00:00+00:00
18,pay_18,80,1052.24,USD,SUCCESS,,PAYPAL,2025-11-10T19:00:00+00:00
19,pay_19,182,474.73,USD,SUCCESS,,PAYPAL,2025-12-13T10:00:00+00:00
20,pay_20,33,1246.0,USD,SUCCESS,,CREDIT_CARD,2025-12-13T21:00:00+00:00
21,pay_21,109,42.07,USD,SUCCESS,,ACH,2025-11-13T06:00:00+00:00
22,pay_22,88,737.11,USD,SUCCESS,,DEBIT_CARD,2025-11-10T04:00:00+00:00
23,pay_23,20,768.92,USD,FAILED,TEMPORARY_FAILURE,CREDIT_CARD,2025-12-14T10:00:00+00:00
24,pay_24,197,901.91,USD,SUCCESS,,DEBIT_CARD,2025-11-12T05:00:00+00:00
25,pay_25,178,1216.43,USD,SUCCESS,,DEBIT_CARD,2025-12-18T14:00:00+00:00
26,pay_26,12,1019.4,USD,SUCCESS,,DEBIT_CARD,2025-11-30T19:00:00+00:00
27,pay_27,73,1178.94,USD,SUCCESS,,DEBIT_CARD,2025-12-06T07:00:00+00:00
