case_id,case_type,source_id,customer_id,amount_at_risk,expected_action,expected_outcome,expected_recovery_amount
1,FAILED_PAYMENT,1,191,1171.99,SEND_CARD_UPDATE_LINK,UNRECOVERABLE,0.0
2,FAILED_PAYMENT,10,130,838.16,SCHEDULE_PAYDAY_RETRY,RECOVERED,838.16
3,FAILED_PAYMENT,11,167,721.31,SCHEDULE_PAYDAY_RETRY,RECOVERED,721.31
4,FAILED_PAYMENT,13,45,665.07,SCHEDULE_PAYDAY_RETRY,ESCALATED,358.51
5,FAILED_PAYMENT,14,157,1378.14,SEND_CARD_UPDATE_LINK,RECOVERED,1378.14
6,FAILED_PAYMENT,23,20,768.92,EXECUTE_SMART_RETRY,RECOVERED,768.92
7,FAILED_PAYMENT,33,196,1359.38,SEND_CARD_UPDATE_LINK,RECOVERED,1359.38
8,FAILED_PAYMENT,36,21,488.25,EXECUTE_SMART_RETRY,RECOVERED,488.25
9,FAILED_PAYMENT,37,167,219.34,EXECUTE_SMART_RETRY,RECOVERED,219.34
10,FAILED_PAYMENT,41,61,369.08,EXECUTE_SMART_RETRY,RECOVERED,369.08
11,FAILED_PAYMENT,49,165,704.97,SCHEDULE_PAYDAY_RETRY,ESCALATED,293.76
12,FAILED_PAYMENT,50,35,69.92,SEND_CARD_UPDATE_LINK,RECOVERED,69.92
13,FAILED_PAYMENT,51,11,780.34,SEND_CARD_UPDATE_LINK,RECOVERED,780.34
14,FAILED_PAYMENT,53,85,663.87,SEND_CARD_UPDATE_LINK,RECOVERED,663.87
15,FAILED_PAYMENT,54,99,751.86,EXECUTE_SMART_RETRY,RECOVERED,751.86
16,FAILED_PAYMENT,57,76,1080.73,SCHEDULE_PAYDAY_RETRY,RECOVERED,1080.73
17,FAILED_PAYMENT,62,18,559.0,SCHEDULE_PAYDAY_RETRY,ESCALATED,224.06
18,FAILED_PAYMENT,64,196,801.25,EXECUTE_SMART_RETRY,RECOVERED,801.25
19,FAILED_PAYMENT,65,72,53.48,EXECUTE_SMART_RETRY,RECOVERED,53.48
20,FAILED_PAYMENT,71,131,1191.22,EXECUTE_SMART_RETRY,RECOVERED,1191.22
21,FAILED_PAYMENT,72,7,562.83,SCHEDULE_PAYDAY_RETRY,ESCALATED,304.79
22,FAILED_PAYMENT,73,17,1082.52,SCHEDULE_PAYDAY_RETRY,UNRECOVERABLE,0.0
23,FAILED_PAYMENT,74,148,968.87,SEND_CARD_UPDATE_LINK,RECOVERED,968.87
24,FAILED_PAYMENT,75,133,965.09,SCHEDULE_PAYDAY_RETRY,ESCALATED,432.27
25,FAILED_PAYMENT,77,78,1403.09,SEND_CARD_UPDATE_LINK,RECOVERED,1403.09
26,FAILED_PAYMENT,80,40,1085.14,SCHEDULE_PAYDAY_RETRY,ESCALATED,428.06
