id,external_id,customer_id,plan_name,amount,currency,status,next_billing_date,created_at
1,sub_1,93,STARTER,29.0,USD,FAILED,2025-12-13T00:00:00+00:00,2025-11-13T00:00:00+00:00
2,sub_2,150,PRO,199.0,USD,FAILED,2025-12-06T00:00:00+00:00,2025-11-06T00:00:00+00:00
3,sub_3,109,PRO,199.0,USD,ACTIVE,2025-12-15T00:00:00+00:00,2025-11-15T00:00:00+00:00
4,sub_4,102,BASIC,79.0,USD,ACTIVE,2025-12-22T00:00:00+00:00,2025-11-22T00:00:00+00:00
5,sub_5,143,ENTERPRISE,599.0,USD,FAILED,2025-12-07T00:00:00+00:00,2025-11-07T00:00:00+00:00
6,sub_6,143,ENTERPRISE,599.0,USD,FAILED,2025-11-21T00:00:00+00:00,2025-10-22T00:00:00+00:00
7,sub_7,148,PRO,199.0,USD,ACTIVE,2025-11-27T00:00:00+00:00,2025-10-28T00:00:00+00:00
8,sub_8,189,BASIC,79.0,USD,ACTIVE,2025-12-14T00:00:00+00:00,2025-11-14T00:00:00+00:00
9,sub_9,31,BASIC,79.0,USD,ACTIVE,2025-12-16T00:00:00+00:00,2025-11-16T00:00:00+00:00
10,sub_10,42,STARTER,29.0,USD,FAILED,2025-11-27T00:00:00+00:00,2025-10-28T00:00:00+00:00
11,sub_11,87,STARTER,29.0,USD,FAILED,2025-12-12T00:00:00+00:00,2025-11-12T00:00:00+00:00
12,sub_12,2,STARTER,29.0,USD,ACTIVE,2025-12-02T00:00:00+00:00,2025-11-02T00:00:00+00:00
13,sub_13,154,ENTERPRISE,599.0,USD,FAILED,2025-11-18T00:00:00+00:00,2025-10-19T00:00:00+00:00
14,sub_14,57,PRO,199.0,USD,FAILED,2025-11-04T00:00:00+00:00,2025-10-05T00:00:00+00:00
15,sub_15,186,ENTERPRISE,599.0,USD,ACTIVE,2025-11-27T00:00:00+00:00,2025-10-28T00:00:00+00:00
16,sub_16,158,PRO,199.0,USD,ACTIVE,2025-12-10T00:00:00+00:00,2025-11-10T00:00:00+00:00
17,sub_17,15,BASIC,79.0,USD,ACTIVE,2025-11-30T00:00:00+00:00,2025-10-31T00:00:00+00:00
18,sub_18,3,BASIC,79.0,USD,ACTIVE,2025-12-31T00:00:00+00:00,2025-12-01T00:00:00+00:00
19,sub_19,133,PRO,199.0,USD,FAILED,2025-12-22T00:00:00+00:00,2025-11-22T00:00:00+00:00
20,sub_20,154,BASIC,79.0,USD,ACTIVE,2025-12-15T00:00:00+00:00,2025-11-15T00:00:00+00:00
21,sub_21,10,PRO,199.0,USD,FAILED,2025-11-02T00:00:00+00:00,2025-10-03T00:00:00+00:00
22,sub_22,41,STARTER,29.0,USD,ACTIVE,2025-12-21T00:00:00+00:00,2025-11-21T00:00:00+00:00
23,sub_23,103,PRO,199.0,USD,ACTIVE,2025-11-27T00:00:00+00:00,2025-10-28T00:00:00+00:00
24,sub_24,151,BASIC,79.0,USD,ACTIVE,2025-12-19T00:00:00+00:00,2025-11-19T00:00:00+00:00
25,sub_25,181,STARTER,29.0,USD,ACTIVE,2025-12-07T00:00:00+00:00,2025-11-07T00:00:00+00:00
26,sub_26,73,PRO,199.0,USD,FAILED,2025-12-24T00:00:00+00:00,2025-11-24T00:00:00+00:00
27,sub_27,71,BASIC,79.0,USD,ACTIVE,2025-11-14T00:00:00+00:00,2025-10-15T00:00:00+00:00
